Niue Time -  Pacific/Niue
Samoa Standard Time -  Pacific/Midway
Samoa Standard Time -  Pacific/Pago_Pago
Cook Islands Standard Time -  Pacific/Rarotonga
Hawaii-Aleutian Standard Time -  America/Adak
Hawaii-Aleutian Standard Time -  Pacific/Honolulu
Tahiti Time -  Pacific/Tahiti
Marquesas Time -  Pacific/Marquesas
Alaska Standard Time -  America/Anchorage
Alaska Standard Time -  America/Juneau
Alaska Standard Time -  America/Metlakatla
Alaska Standard Time -  America/Nome
Alaska Standard Time -  America/Sitka
Alaska Standard Time -  America/Yakutat
Gambier Time -  Pacific/Gambier
Pacific Standard Time -  America/Los_Angeles
Pacific Standard Time -  America/Tijuana
Pacific Standard Time -  America/Vancouver
Pitcairn Time -  Pacific/Pitcairn
Mexican Pacific Standard Time -  America/Chihuahua
Mexican Pacific Standard Time -  America/Hermosillo
Mexican Pacific Standard Time -  America/Mazatlan
Mountain Standard Time -  America/Boise
Mountain Standard Time -  America/Cambridge_Bay
Mountain Standard Time -  America/Creston
Mountain Standard Time -  America/Dawson_Creek
Mountain Standard Time -  America/Denver
Mountain Standard Time -  America/Edmonton
Mountain Standard Time -  America/Fort_Nelson
Mountain Standard Time -  America/Inuvik
Mountain Standard Time -  America/Ojinaga
Mountain Standard Time -  America/Phoenix
Mountain Standard Time -  America/Yellowknife
Pacific Standard Time -  America/Dawson
Pacific Standard Time -  America/Whitehorse
Central Standard Time -  America/Bahia_Banderas
Central Standard Time -  America/Belize
Central Standard Time -  America/North_Dakota/Beulah
Central Standard Time -  America/North_Dakota/Center
Central Standard Time -  America/Chicago
Central Standard Time -  America/Costa_Rica
Central Standard Time -  America/El_Salvador
Central Standard Time -  America/Guatemala
Central Standard Time -  America/Indiana/Knox
Central Standard Time -  America/Managua
Central Standard Time -  America/Matamoros
Central Standard Time -  America/Menominee
Central Standard Time -  America/Merida
Central Standard Time -  America/Mexico_City
Central Standard Time -  America/Monterrey
Central Standard Time -  America/North_Dakota/New_Salem
Central Standard Time -  America/Rainy_River
Central Standard Time -  America/Rankin_Inlet
Central Standard Time -  America/Regina
Central Standard Time -  America/Resolute
Central Standard Time -  America/Swift_Current
Central Standard Time -  America/Tegucigalpa
Central Standard Time -  America/Indiana/Tell_City
Central Standard Time -  America/Winnipeg
Easter Island Standard Time -  Pacific/Easter
Galapagos Time -  Pacific/Galapagos
Acre Standard Time -  America/Eirunepe
Acre Standard Time -  America/Rio_Branco
Colombia Standard Time -  America/Bogota
Cuba Standard Time -  America/Havana
Eastern Standard Time -  America/Atikokan
Eastern Standard Time -  America/Cancun
Eastern Standard Time -  America/Cayman
Eastern Standard Time -  America/Detroit
Eastern Standard Time -  America/Grand_Turk
Eastern Standard Time -  America/Indiana/Indianapolis
